PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
35,566080.0977906636,4906296.033111541,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,558735.0238578571,4896299.212579836,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,558781.662289753,4895374.959728357,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,559051.3280931921,4894450.700266115,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,559104.2603749295,4893553.576540495,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,558423.5202048713,4892818.733396914,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,557681.9467702657,4892207.424911734,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,556734.4919825464,4892428.905540448,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,555916.2268094788,4892027.519290903,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,555167.4195768557,4891360.678603725,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,554296.4784318481,4891227.919776289,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,565809.3896983522,4904670.835157822,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,565151.7304789985,4904211.804245171,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
