Allele List,Frequency
LOclMSU37A0,0.0
LOclMSU37A1,0.0
LOclMSU37A2,0.0
LOclMSU37A3,0.0167
LOclMSU37A4,0.0667
LOclMSU37A5,0.2
LOclMSU37A6,0.0667
LOclMSU37A7,0.0
LOclMSU37A8,0.5
LOclMSU37A9,0.0833
LOclMSU37A10,0.0
LOclMSU37A11,0.0667
LOclMSU37A12,0.0
LASpI016A0,1.0
LASpI016A1,0.0
LASpI018A0,1.0
LASpI018A1,0.0
LASpI076A0,0.0
LASpI076A1,1.0
LOcll_1_022A0,0.0345
LOcll_1_022A1,0.9655
LOcll_1_024A0,0.5172
LOcll_1_024A1,0.4828
LOcll_1_039A0,0.0
LOcll_1_039A1,1.0
LOcll_1_040A0,0.25
LOcll_1_040A1,0.75
LOcll_1_043A0,0.3542
LOcll_1_043A1,0.6458
LOcll_1_058A0,0.931
LOcll_1_058A1,0.069
LOcll_1_059A0,0.6552
LOcll_1_059A1,0.3448
LOcll_1_060A0,0.6552
LOcll_1_060A1,0.3448
LOcll_1_067A0,0.6379
LOcll_1_067A1,0.3621
LOcll_1_069A0,0.6552
LOcll_1_069A1,0.3448
LOcll_1_072A0,0.7241
LOcll_1_072A1,0.2759
LOcll_1_073A0,0.6207
LOcll_1_073A1,0.3793
LOcll_1_079A0,0.8103
LOcll_1_079A1,0.1897
LOcll_1_093A0,0.1207
LOcll_1_093A1,0.8793
LOcll_1_096A0,0.8276
LOcll_1_096A1,0.1724
LOcll_1_098A0,0.8793
LOcll_1_098A1,0.1207
LOcll_1_108A0,0.5893
LOcll_1_108A1,0.4107
LOcll_1_110A0,0.7069
LOcll_1_110A1,0.2931
LOcll_1_114A0,0.6207
LOcll_1_114A1,0.3793
LOcll_1_116A0,0.6207
LOcll_1_116A1,0.3793
LOcll_1_119A0,0.3103
LOcll_1_119A1,0.6897
LOcll_1_125A0,0.8276
LOcll_1_125A1,0.1724
LOcll_1_129A0,0.5
LOcll_1_129A1,0.5
LOcll_1_133A0,0.3621
LOcll_1_133A1,0.6379
LOcll_1_134A0,0.6724
LOcll_1_134A1,0.3276
LOcll_1_144A0,0.8276
LOcll_1_144A1,0.1724
LOcll_1_147A0,0.2414
LOcll_1_147A1,0.7586
LOcll_1_147A2,0.5
LOcll_1_147A3,0.5
LOcll_1_151A0,0.8621
LOcll_1_151A1,0.1379
LOcll_1_156A0,0.1207
LOcll_1_156A1,0.8793
LOcll_1_156A2,0.3621
LOcll_1_156A3,0.6379
LOcll_1_158A0,0.3276
LOcll_1_158A1,0.6724
LOcll_1_167A0,0.7241
LOcll_1_167A1,0.2759
LOcll_1_168A0,0.1207
