points,X,Y,id,mean_temp,sd_temp
"c(556917.739851785, 4895934.41202628)",556917.7398517854,4895934.412026284,88,5.109090909090909,1.1316386616787446
"c(557652.206107811, 4895544.04369382)",557652.2061078113,4895544.043693818,89,5.109090909090909,1.1316386616787446
"c(558464.777955382, 4895357.23471414)",558464.777955382,4895357.2347141355,90,4.8545454545454545,1.0123273618574715
"c(555077.10056399, 4896091.76659954)",555077.1005639903,4896091.766599538,91,5.655681818181818,1.2262322401535766
"c(555647.247208158, 4895440.60578397)",555647.2472081577,4895440.605783973,92,5.655681818181818,1.2262322401535766
"c(555850.107862772, 4894531.33771463)",555850.1078627722,4894531.337714626,93,5.655681818181818,1.2262322401535766
"c(555592.404984489, 4893621.3107728)",555592.4049844886,4893621.310772801,94,5.655681818181818,1.2262322401535766
"c(555020.267696875, 4892913.25492552)",555020.2676968748,4892913.254925521,95,5.655681818181818,1.2262322401535766
"c(552810.865736597, 4895106.5849091)",552810.8657365973,4895106.5849091,96,5.655681818181818,1.2262322401535766
"c(553434.157941932, 4894604.61502524)",553434.1579419317,4894604.615025235,97,5.655681818181818,1.2262322401535766
"c(553669.597307889, 4893792.01483542)",553669.5973078893,4893792.014835417,98,5.655681818181818,1.2262322401535766
"c(553405.292150861, 4893019.18949127)",553405.2921508612,4893019.189491269,99,5.655681818181818,1.2262322401535766
"c(553411.924677176, 4892172.37286669)",553411.9246771763,4892172.372866692,100,5.655681818181818,1.2262322401535766
"c(561221.217135481, 4906196.48158399)",561221.2171354808,4906196.481583991,101,11.610086206896552,2.2269372594936616
"c(561911.025677487, 4905611.78740251)",561911.025677487,4905611.787402509,102,11.488618421052632,2.1959167553620085
"c(561935.172617078, 4904694.48170285)",561935.1726170781,4904694.481702851,103,11.488618421052632,2.1959167553620085
"c(562304.649075378, 4903907.10799652)",562304.6490753782,4903907.107996522,104,11.488618421052632,2.1959167553620085
"c(562767.079309011, 4903086.98569558)",562767.0793090115,4903086.985695578,105,11.488618421052632,2.1959167553620085
"c(562787.821672377, 4902248.9962704)",562787.8216723766,4902248.996270396,106,11.488618421052632,2.1959167553620085
"c(562559.33070643, 4901456.85754932)",562559.33070643,4901456.857549315,107,11.488618421052632,2.1959167553620085
"c(556906.437051335, 4893703.97824887)",556906.437051335,4893703.978248872,108,5.655681818181818,1.2262322401535766
"c(557162.443286642, 4892804.60040446)",557162.4432866424,4892804.600404462,109,5.655681818181818,1.2262322401535766
"c(564243.10767982, 4905135.95259222)",564243.1076798199,4905135.952592219,110,10.702890173410404,2.95344551931171
"c(563800.979000518, 4904421.19517963)",563800.9790005179,4904421.195179633,111,10.702890173410404,2.95344551931171
"c(563006.646951278, 4903890.16536787)",563006.6469512777,4903890.165367873,112,11.488618421052632,2.1959167553620085
"c(555015.908382505, 4899947.87588512)",555015.9083825054,4899947.875885119,113,5.109090909090909,1.1316386616787446
"c(555647.991961681, 4899364.36972172)",555647.9919616808,4899364.369721722,114,5.109090909090909,1.1316386616787446
"c(556431.161394906, 4898802.93756368)",556431.1613949055,4898802.937563683,115,5.109090909090909,1.1316386616787446
"c(557217.066283533, 4898239.46772048)",557217.0662835325,4898239.467720481,116,5.109090909090909,1.1316386616787446
"c(558011.376414232, 4897799.58778686)",558011.3764142322,4897799.587786859,117,5.109090909090909,1.1316386616787446
"c(558370.185480901, 4896976.652124)",558370.1854809008,4896976.652123998,118,5.109090909090909,1.1316386616787446
"c(563582.969587541, 4906488.44103636)",563582.969587541,4906488.441036364,119,10.702890173410404,2.95344551931171
"c(562853.081187615, 4906034.02532322)",562853.0811876152,4906034.025323216,120,11.488618421052632,2.1959167553620085
"c(562303.77102125, 4905517.63033293)",562303.7710212499,4905517.630332929,121,11.488618421052632,2.1959167553620085
"c(567881.274871045, 4905385.46779119)",567881.274871045,4905385.467791189,122,10.702890173410404,2.95344551931171
"c(567207.815514165, 4905063.07322205)",567207.8155141652,4905063.073222047,123,10.702890173410404,2.95344551931171
"c(566488.25499649, 4905057.74046598)",566488.2549964904,4905057.740465977,124,10.702890173410404,2.95344551931171
